Value,Amount,TransactionId,SubscriptionId,ProductCategory,TransactionStatus,AmountLoan,IsFinalPayBack,InvestorId,IsThirdPartyConfirmed,IsDefaulted
550.0,-550.0,TransactionId_1683,2,airtime,Rejected,2.0,2,2,2,2
550.0,-550.0,TransactionId_2235,2,airtime,Rejected,2.0,2,2,2,2
550.0,-550.0,TransactionId_1053,3,airtime,Rejected,2.0,2,2,2,2
1000.0,-1000.0,TransactionId_2633,3,airtime,Rejected,2.0,2,2,2,2
500.0,-500.0,TransactionId_71,3,airtime,Rejected,2.0,2,2,2,2
500.0,-500.0,TransactionId_930,3,airtime,Rejected,2.0,2,2,2,2
500.0,-500.0,TransactionId_1381,3,airtime,Rejected,2.0,2,2,2,2
1235.0,-1235.0,TransactionId_255,3,airtime,Rejected,2.0,2,2,2,2
1235.0,-1235.0,TransactionId_543,3,airtime,Rejected,2.0,2,2,2,2
10000.0,-10000.0,TransactionId_1041,3,airtime,Accepted,10016.0,1,3,0,0
10000.0,-10000.0,TransactionId_1041,3,airtime,Accepted,584.0,1,3,0,0
10000.0,-10000.0,TransactionId_1041,3,airtime,Accepted,100.0,1,3,0,0
1030.0,-1030.0,TransactionId_379,3,airtime,Rejected,2.0,2,2,2,2
5150.0,-5150.0,TransactionId_1598,3,airtime,Accepted,5614.0,1,3,0,0
515.0,-515.0,TransactionId_2115,3,airtime,Accepted,544.0,1,3,0,0
5000.0,-5000.0,TransactionId_2632,3,airtime,Accepted,5375.0,1,3,0,0
1000.0,-1000.0,TransactionId_2209,3,airtime,Rejected,2.0,2,2,2,2
500.0,-500.0,TransactionId_1297,1,airtime,Accepted,543.0,1,2,0,0
1000.0,-1000.0,TransactionId_1367,1,airtime,Accepted,1085.0,1,2,0,0
500.0,-500.0,TransactionId_871,1,airtime,Accepted,543.0,1,2,0,0
500.0,-500.0,TransactionId_1019,1,data_bundles,Accepted,543.0,1,2,0,0
500.0,-500.0,TransactionId_749,1,data_bundles,Rejected,2.0,2,2,2,2
500.0,-500.0,TransactionId_2,1,airtime,Accepted,520.0,1,2,0,0
1000.0,-1000.0,TransactionId_1995,1,airtime,Accepted,1065.0,1,2,0,0
500.0,-500.0,TransactionId_2181,1,airtime,Accepted,520.0,1,2,0,0
2000.0,-2000.0,TransactionId_482,1,airtime,Rejected,2.0,2,2,2,2
10000.0,-10000.0,TransactionId_2299,1,airtime,Accepted,10000.0,1,2,0,1
5000.0,-5000.0,TransactionId_1950,1,airtime,Accepted,5275.0,1,2,0,0
31766.0,-30840.0,TransactionId_2128,1,financial_services,Accepted,30840.0,1,2,1,0
500.0,-500.0,TransactionId_1569,1,data_bundles,Accepted,520.0,1,2,1,0
1000.0,-1000.0,TransactionId_2497,6,airtime,Rejected,2.0,2,2,2,2
3500.0,-3500.0,TransactionId_1344,6,financial_services,Rejected,2.0,2,2,2,2
500.0,-500.0,TransactionId_1202,6,airtime,Rejected,2.0,2,2,2,2
1500.0,-1500.0,TransactionId_1024,6,airtime,Accepted,1568.0,1,1,1,0
10000.0,-10000.0,TransactionId_710,1,airtime,Accepted,11100.0,1,2,1,0
53500.0,-50000.0,TransactionId_549,1,movies,Accepted,63398.0,0,2,1,0
53500.0,-50000.0,TransactionId_549,1,movies,Accepted,2942.0,1,2,1,0
5000.0,-5000.0,TransactionId_1452,1,airtime,Accepted,500.0,0,2,1,1
11200.0,-10000.0,TransactionId_97,1,movies,Rejected,2.0,2,2,2,2
20000.0,-20000.0,TransactionId_1324,6,data_bundles,Rejected,2.0,2,2,2,2
500.0,-500.0,TransactionId_1863,1,airtime,Accepted,633.0,1,2,1,0
500.0,-500.0,TransactionId_598,1,retail,Accepted,633.0,1,2,1,0
2000.0,-2000.0,TransactionId_2321,6,airtime,Rejected,2.0,2,2,2,2
500.0,-500.0,TransactionId_2065,6,airtime,Rejected,2.0,2,2,2,2
1000.0,-1000.0,TransactionId_196,6,airtime,Rejected,2.0,2,2,2,2
1000.0,-1000.0,TransactionId_1433,6,airtime,Rejected,2.0,2,2,2,2
500.0,-500.0,TransactionId_1310,6,airtime,Rejected,2.0,2,2,2,2
3000.0,-3000.0,TransactionId_1750,6,airtime,Rejected,2.0,2,2,2,2
1000.0,-1000.0,TransactionId_838,6,airtime,Accepted,1040.0,1,1,1,0
11200.0,-10000.0,TransactionId_695,6,movies,Accepted,11760.0,0,1,1,0
11200.0,-10000.0,TransactionId_695,6,movies,Accepted,168.0,1,1,1,0
500.0,-500.0,TransactionId_2328,6,airtime,Rejected,2.0,2,2,2,2
1200.0,-1200.0,TransactionId_2304,6,airtime,Rejected,2.0,2,2,2,2
5000.0,-5000.0,TransactionId_2350,1,airtime,Accepted,6300.0,1,2,1,0
1500.0,-1500.0,TransactionId_1081,6,airtime,Accepted,1598.0,1,1,1,0
1000.0,-1000.0,TransactionId_806,6,airtime,Rejected,2.0,2,2,2,2
1000.0,-1000.0,TransactionId_776,6,airtime,Rejected,2.0,2,2,2,2
3500.0,-3500.0,TransactionId_2292,6,airtime,Rejected,2.0,2,2,2,2
1200.0,-1200.0,TransactionId_2475,6,airtime,Rejected,2.0,2,2,2,2
1000.0,-1000.0,TransactionId_2408,6,airtime,Rejected,2.0,2,2,2,2
1200.0,-1200.0,TransactionId_2588,6,airtime,Rejected,2.0,2,2,2,2
3000.0,-3000.0,TransactionId_890,6,airtime,Accepted,3270.0,1,1,1,0
1000.0,-1000.0,TransactionId_671,6,airtime,Rejected,2.0,2,2,2,2
1200.0,-1200.0,TransactionId_619,6,airtime,Rejected,2.0,2,2,2,2
1000.0,-1000.0,TransactionId_1860,6,airtime,Rejected,2.0,2,2,2,2
5000.0,-5000.0,TransactionId_1121,1,airtime,Accepted,6200.0,1,2,1,0
10000.0,-10000.0,TransactionId_191,1,retail,Accepted,12400.0,1,2,1,0
1000.0,-1000.0,TransactionId_1601,6,airtime,Rejected,2.0,2,2,2,2
20000.0,-20000.0,TransactionId_244,6,data_bundles,Accepted,20900.0,1,1,1,0
1000.0,-1000.0,TransactionId_693,6,airtime,Rejected,2.0,2,2,2,2
20000.0,-20000.0,TransactionId_326,6,airtime,Rejected,2.0,2,2,2,2
21800.0,-20000.0,TransactionId_2290,6,movies,Accepted,22000.0,0,1,1,0
21800.0,-20000.0,TransactionId_2290,6,movies,Accepted,3833.0,1,1,1,0
1500.0,-1500.0,TransactionId_1755,6,airtime,Accepted,2346.0,0,1,1,0
3500.0,-3500.0,TransactionId_473,6,financial_services,Rejected,2.0,2,2,2,2
1000.0,-1000.0,TransactionId_238,6,airtime,Rejected,2.0,2,2,2,2
1000.0,-1000.0,TransactionId_2544,6,airtime,Rejected,2.0,2,2,2,2
5000.0,-5000.0,TransactionId_261,1,airtime,Accepted,6150.0,1,2,1,0
2145.0,-1500.0,TransactionId_817,6,movies,Accepted,2521.0,1,1,1,0
5000.0,-5000.0,TransactionId_372,1,data_bundles,Accepted,5725.0,1,2,1,0
10000.0,-10000.0,TransactionId_1979,1,airtime,Accepted,10700.0,1,2,1,0
11200.0,-10000.0,TransactionId_1077,1,movies,Rejected,2.0,2,2,2,2
5000.0,-5000.0,TransactionId_605,1,airtime,Accepted,5325.0,1,2,1,0
24660.0,-22000.0,TransactionId_1806,6,movies,Accepted,28606.0,1,1,1,0
28840.0,-28000.0,TransactionId_2450,1,financial_services,Accepted,35004.0,0,2,1,0
28840.0,-28000.0,TransactionId_2450,1,financial_services,Accepted,1696.0,1,2,1,0
10000.0,-10000.0,TransactionId_2125,1,retail,Accepted,12050.0,1,2,1,0
500.0,-500.0,TransactionId_1342,1,airtime,Accepted,533.0,1,2,1,0
10000.0,-10000.0,TransactionId_2241,6,airtime,Accepted,7000.0,0,1,1,0
10000.0,-10000.0,TransactionId_2241,6,airtime,Accepted,7650.0,1,1,1,0
1000.0,-1000.0,TransactionId_1948,6,airtime,Rejected,2.0,2,2,2,2
1000.0,-1000.0,TransactionId_803,1,airtime,Accepted,1135.0,1,2,1,0
1000.0,-1000.0,TransactionId_1361,1,airtime,Accepted,1040.0,1,2,1,0
2000.0,-2000.0,TransactionId_352,6,airtime,Accepted,2410.0,1,1,1,0
10000.0,-10000.0,TransactionId_1957,6,airtime,Rejected,2.0,2,2,2,2
1000.0,-1000.0,TransactionId_489,6,airtime,Rejected,2.0,2,2,2,2
2000.0,-2000.0,TransactionId_1505,6,data_bundles,Rejected,2.0,2,2,2,2
5000.0,-5000.0,TransactionId_180,6,data_bundles,Rejected,2.0,2,2,2,2
500.0,-500.0,TransactionId_2313,6,airtime,Rejected,2.0,2,2,2,2
11200.0,-10000.0,TransactionId_1407,6,movies,Accepted,12432.0,1,1,1,0
14000.0,-10000.0,TransactionId_1156,6,retail,Accepted,23660.0,1,1,1,0
2000.0,-2000.0,TransactionId_2064,6,data_bundles,Accepted,2080.0,1,1,1,0
11000.0,-11000.0,TransactionId_2191,6,financial_services,Accepted,11440.0,1,1,1,0
500.0,-500.0,TransactionId_2276,6,airtime,Rejected,2.0,2,2,2,2
500.0,-500.0,TransactionId_2427,6,airtime,Rejected,2.0,2,2,2,2
10000.0,-10000.0,TransactionId_163,1,airtime,Rejected,2.0,2,2,2,2
19740.0,-18000.0,TransactionId_2430,1,movies,Accepted,22011.0,1,2,1,0
2000.0,-2000.0,TransactionId_1521,6,airtime,Rejected,2.0,2,2,2,2
2000.0,-2000.0,TransactionId_1166,6,airtime,Accepted,2390.0,1,1,1,0
2000.0,-2000.0,TransactionId_1166,6,airtime,Accepted,2390.0,1,1,1,0
2000.0,-2000.0,TransactionId_1910,6,airtime,Rejected,2.0,2,2,2,2
500.0,-500.0,TransactionId_2559,1,airtime,Accepted,593.0,1,2,1,0
5000.0,-5000.0,TransactionId_921,1,airtime,Accepted,5900.0,1,2,1,0
2000.0,-2000.0,TransactionId_1135,6,airtime,Rejected,2.0,2,2,2,2
2000.0,-2000.0,TransactionId_1385,6,data_bundles,Accepted,2970.0,1,1,1,0
12000.0,-12000.0,TransactionId_1408,6,financial_services,Accepted,2000.0,0,1,1,0
12000.0,-12000.0,TransactionId_1408,6,financial_services,Accepted,15880.0,1,1,1,0
5000.0,-5000.0,TransactionId_1346,1,airtime,Rejected,2.0,2,2,2,2
7000.0,-7000.0,TransactionId_499,6,data_bundles,Accepted,7525.0,1,1,1,0
5750.0,-5000.0,TransactionId_2444,6,movies,Accepted,6038.0,1,1,1,0
2000.0,-2000.0,TransactionId_2565,1,airtime,Accepted,2350.0,1,2,1,0
1000.0,-1000.0,TransactionId_744,6,airtime,Accepted,500.0,0,1,1,0
1000.0,-1000.0,TransactionId_744,6,airtime,Accepted,555.0,1,1,1,0
2000.0,-2000.0,TransactionId_1418,1,data_bundles,Accepted,2180.0,1,2,1,0
1500.0,-1500.0,TransactionId_1483,6,airtime,Rejected,2.0,2,2,2,2
10000.0,-10000.0,TransactionId_952,6,airtime,Rejected,2.0,2,2,2,2
3000.0,-3000.0,TransactionId_2224,1,airtime,Accepted,3510.0,1,2,1,0
1500.0,-1500.0,TransactionId_775,6,airtime,Accepted,2228.0,1,1,1,0
2000.0,-2000.0,TransactionId_2603,6,data_bundles,Accepted,2090.0,1,1,1,0
10000.0,-10000.0,TransactionId_432,6,data_bundles,Accepted,10950.0,1,1,1,0
4000.0,-4000.0,TransactionId_284,1,airtime,Rejected,2.0,2,2,2,2
2000.0,-2000.0,TransactionId_1791,6,airtime,Accepted,2080.0,1,1,1,0
2000.0,-2000.0,TransactionId_706,1,airtime,Accepted,2320.0,1,2,1,0
13000.0,-13000.0,TransactionId_364,6,airtime,Rejected,2.0,2,2,2,2
1500.0,-1500.0,TransactionId_2502,6,airtime,Rejected,2.0,2,2,2,2
13000.0,-13000.0,TransactionId_2641,6,airtime,Rejected,2.0,2,2,2,2
1000.0,-1000.0,TransactionId_2425,6,airtime,Accepted,1060.0,1,1,1,0
3500.0,-3500.0,TransactionId_1563,6,airtime,Accepted,3868.0,1,1,1,0
5000.0,-5000.0,TransactionId_1359,6,airtime,Accepted,900.0,0,1,1,0
5000.0,-5000.0,TransactionId_1359,6,airtime,Accepted,4625.0,1,1,1,0
1000.0,-1000.0,TransactionId_323,6,airtime,Accepted,500.0,0,1,1,0
1000.0,-1000.0,TransactionId_323,6,airtime,Accepted,545.0,1,1,1,0
5000.0,-5000.0,TransactionId_1551,6,airtime,Accepted,5325.0,1,1,1,0
30000.0,-30000.0,TransactionId_73,1,airtime,Accepted,20000.0,0,2,1,0
30000.0,-30000.0,TransactionId_73,1,airtime,Accepted,14650.0,1,2,1,0
4000.0,-4000.0,TransactionId_2199,6,airtime,Accepted,4160.0,1,1,1,0
1630.0,-1000.0,TransactionId_1299,6,movies,Rejected,2.0,2,2,2,2
1000.0,-1000.0,TransactionId_267,6,airtime,Accepted,1040.0,1,1,1,0
2000.0,-2000.0,TransactionId_698,6,airtime,Accepted,2260.0,1,1,1,0
500.0,-500.0,TransactionId_446,6,data_bundles,Accepted,523.0,1,1,1,0
1000.0,-1000.0,TransactionId_2346,6,airtime,Accepted,512.0,0,1,1,0
1000.0,-1000.0,TransactionId_2346,6,airtime,Accepted,583.0,1,1,1,0
1000.0,-1000.0,TransactionId_1627,6,airtime,Accepted,1060.0,1,1,1,0
1000.0,-1000.0,TransactionId_2619,1,airtime,Accepted,1145.0,1,2,1,0
2000.0,-2000.0,TransactionId_397,6,airtime,Accepted,2090.0,1,1,1,0
1500.0,-1500.0,TransactionId_1859,6,airtime,Accepted,2228.0,1,1,1,0
8000.0,-8000.0,TransactionId_1058,6,airtime,Accepted,1000.0,0,1,1,0
8000.0,-8000.0,TransactionId_1058,6,airtime,Accepted,8880.0,1,1,1,0
14000.0,-14000.0,TransactionId_2010,6,airtime,Rejected,2.0,2,2,2,2
2000.0,-2000.0,TransactionId_1510,6,airtime,Accepted,2180.0,1,1,1,0
5750.0,-5000.0,TransactionId_1674,6,movies,Accepted,5980.0,1,1,1,0
500.0,-500.0,TransactionId_727,6,airtime,Accepted,520.0,1,1,1,0
1000.0,-1000.0,TransactionId_2593,6,airtime,Accepted,1055.0,1,1,1,0
5750.0,-5000.0,TransactionId_1410,6,movies,Accepted,4000.0,0,1,1,0
5750.0,-5000.0,TransactionId_1410,6,movies,Accepted,3073.0,1,1,1,0
1000.0,-1000.0,TransactionId_820,6,airtime,Accepted,1040.0,1,1,1,0
5000.0,-5000.0,TransactionId_1482,6,airtime,Accepted,5250.0,1,1,1,0
9000.0,-9000.0,TransactionId_1450,6,financial_services,Accepted,2852.0,0,1,1,0
9000.0,-9000.0,TransactionId_1450,6,financial_services,Accepted,5000.0,0,1,1,0
9000.0,-9000.0,TransactionId_1450,6,financial_services,Accepted,2228.0,1,1,1,0
1500.0,-1500.0,TransactionId_1978,1,airtime,Accepted,1575.0,1,2,1,0
2000.0,-2000.0,TransactionId_1,1,airtime,Accepted,2090.0,1,2,1,0
14000.0,-14000.0,TransactionId_1720,6,airtime,Accepted,5000.0,0,1,1,0
14000.0,-14000.0,TransactionId_1720,6,airtime,Accepted,5000.0,0,1,1,0
14000.0,-14000.0,TransactionId_1720,6,airtime,Accepted,6380.0,1,1,1,0
11000.0,-11000.0,TransactionId_2022,1,financial_services,Accepted,5000.0,0,2,1,0
11000.0,-11000.0,TransactionId_2022,1,financial_services,Accepted,5000.0,0,2,1,0
11000.0,-11000.0,TransactionId_2022,1,financial_services,Accepted,5015.0,1,2,1,0
500.0,-500.0,TransactionId_494,6,airtime,Accepted,543.0,1,1,1,0
2000.0,-2000.0,TransactionId_1966,6,airtime,Accepted,2090.0,0,1,1,0
2000.0,-2000.0,TransactionId_1966,6,airtime,Accepted,60.0,1,1,1,0
900.0,-900.0,TransactionId_2655,6,financial_services,Accepted,936.0,1,1,1,0
12360.0,-12000.0,TransactionId_1905,6,financial_services,Rejected,2.0,2,2,2,2
600.0,-600.0,TransactionId_1109,6,airtime,Accepted,630.0,1,1,1,0
