Value,Amount,TransactionId,SubscriptionId,ProductCategory,TransactionStatus,AmountLoan,IsFinalPayBack,InvestorId,IsThirdPartyConfirmed,IsDefaulted
550.0,-550.0,TransactionId_1683,2,1,Rejected,2.0,2,2,2,2
550.0,-550.0,TransactionId_2235,2,1,Rejected,2.0,2,2,2,2
550.0,-550.0,TransactionId_1053,3,1,Rejected,2.0,2,2,2,2
1000.0,-1000.0,TransactionId_2633,3,1,Rejected,2.0,2,2,2,2
500.0,-500.0,TransactionId_71,3,1,Rejected,2.0,2,2,2,2
500.0,-500.0,TransactionId_930,3,1,Rejected,2.0,2,2,2,2
500.0,-500.0,TransactionId_1381,3,1,Rejected,2.0,2,2,2,2
1235.0,-1235.0,TransactionId_255,3,1,Rejected,2.0,2,2,2,2
1235.0,-1235.0,TransactionId_543,3,1,Rejected,2.0,2,2,2,2
10000.0,-10000.0,TransactionId_1041,3,1,Accepted,10016.0,1,3,0,0
10000.0,-10000.0,TransactionId_1041,3,1,Accepted,584.0,1,3,0,0
10000.0,-10000.0,TransactionId_1041,3,1,Accepted,100.0,1,3,0,0
1030.0,-1030.0,TransactionId_379,3,1,Rejected,2.0,2,2,2,2
5150.0,-5150.0,TransactionId_1598,3,1,Accepted,5614.0,1,3,0,0
515.0,-515.0,TransactionId_2115,3,1,Accepted,544.0,1,3,0,0
5000.0,-5000.0,TransactionId_2632,3,1,Accepted,5375.0,1,3,0,0
1000.0,-1000.0,TransactionId_2209,3,1,Rejected,2.0,2,2,2,2
500.0,-500.0,TransactionId_1297,1,1,Accepted,543.0,1,2,0,0
1000.0,-1000.0,TransactionId_1367,1,1,Accepted,1085.0,1,2,0,0
500.0,-500.0,TransactionId_871,1,1,Accepted,543.0,1,2,0,0
500.0,-500.0,TransactionId_1019,1,2,Accepted,543.0,1,2,0,0
500.0,-500.0,TransactionId_749,1,2,Rejected,2.0,2,2,2,2
500.0,-500.0,TransactionId_2,1,1,Accepted,520.0,1,2,0,0
1000.0,-1000.0,TransactionId_1995,1,1,Accepted,1065.0,1,2,0,0
500.0,-500.0,TransactionId_2181,1,1,Accepted,520.0,1,2,0,0
2000.0,-2000.0,TransactionId_482,1,1,Rejected,2.0,2,2,2,2
10000.0,-10000.0,TransactionId_2299,1,1,Accepted,10000.0,1,2,0,1
5000.0,-5000.0,TransactionId_1950,1,1,Accepted,5275.0,1,2,0,0
31766.0,-30840.0,TransactionId_2128,1,3,Accepted,30840.0,1,2,1,0
500.0,-500.0,TransactionId_1569,1,2,Accepted,520.0,1,2,1,0
1000.0,-1000.0,TransactionId_2497,6,1,Rejected,2.0,2,2,2,2
3500.0,-3500.0,TransactionId_1344,6,3,Rejected,2.0,2,2,2,2
500.0,-500.0,TransactionId_1202,6,1,Rejected,2.0,2,2,2,2
1500.0,-1500.0,TransactionId_1024,6,1,Accepted,1568.0,1,1,1,0
10000.0,-10000.0,TransactionId_710,1,1,Accepted,11100.0,1,2,1,0
53500.0,-50000.0,TransactionId_549,1,4,Accepted,63398.0,0,2,1,0
53500.0,-50000.0,TransactionId_549,1,4,Accepted,2942.0,1,2,1,0
5000.0,-5000.0,TransactionId_1452,1,1,Accepted,500.0,0,2,1,1
11200.0,-10000.0,TransactionId_97,1,4,Rejected,2.0,2,2,2,2
20000.0,-20000.0,TransactionId_1324,6,2,Rejected,2.0,2,2,2,2
500.0,-500.0,TransactionId_1863,1,1,Accepted,633.0,1,2,1,0
500.0,-500.0,TransactionId_598,1,5,Accepted,633.0,1,2,1,0
2000.0,-2000.0,TransactionId_2321,6,1,Rejected,2.0,2,2,2,2
500.0,-500.0,TransactionId_2065,6,1,Rejected,2.0,2,2,2,2
1000.0,-1000.0,TransactionId_196,6,1,Rejected,2.0,2,2,2,2
1000.0,-1000.0,TransactionId_1433,6,1,Rejected,2.0,2,2,2,2
500.0,-500.0,TransactionId_1310,6,1,Rejected,2.0,2,2,2,2
3000.0,-3000.0,TransactionId_1750,6,1,Rejected,2.0,2,2,2,2
1000.0,-1000.0,TransactionId_838,6,1,Accepted,1040.0,1,1,1,0
11200.0,-10000.0,TransactionId_695,6,4,Accepted,11760.0,0,1,1,0
11200.0,-10000.0,TransactionId_695,6,4,Accepted,168.0,1,1,1,0
500.0,-500.0,TransactionId_2328,6,1,Rejected,2.0,2,2,2,2
1200.0,-1200.0,TransactionId_2304,6,1,Rejected,2.0,2,2,2,2
5000.0,-5000.0,TransactionId_2350,1,1,Accepted,6300.0,1,2,1,0
1500.0,-1500.0,TransactionId_1081,6,1,Accepted,1598.0,1,1,1,0
1000.0,-1000.0,TransactionId_806,6,1,Rejected,2.0,2,2,2,2
1000.0,-1000.0,TransactionId_776,6,1,Rejected,2.0,2,2,2,2
3500.0,-3500.0,TransactionId_2292,6,1,Rejected,2.0,2,2,2,2
1200.0,-1200.0,TransactionId_2475,6,1,Rejected,2.0,2,2,2,2
1000.0,-1000.0,TransactionId_2408,6,1,Rejected,2.0,2,2,2,2
1200.0,-1200.0,TransactionId_2588,6,1,Rejected,2.0,2,2,2,2
3000.0,-3000.0,TransactionId_890,6,1,Accepted,3270.0,1,1,1,0
1000.0,-1000.0,TransactionId_671,6,1,Rejected,2.0,2,2,2,2
1200.0,-1200.0,TransactionId_619,6,1,Rejected,2.0,2,2,2,2
1000.0,-1000.0,TransactionId_1860,6,1,Rejected,2.0,2,2,2,2
5000.0,-5000.0,TransactionId_1121,1,1,Accepted,6200.0,1,2,1,0
10000.0,-10000.0,TransactionId_191,1,5,Accepted,12400.0,1,2,1,0
1000.0,-1000.0,TransactionId_1601,6,1,Rejected,2.0,2,2,2,2
20000.0,-20000.0,TransactionId_244,6,2,Accepted,20900.0,1,1,1,0
1000.0,-1000.0,TransactionId_693,6,1,Rejected,2.0,2,2,2,2
20000.0,-20000.0,TransactionId_326,6,1,Rejected,2.0,2,2,2,2
21800.0,-20000.0,TransactionId_2290,6,4,Accepted,22000.0,0,1,1,0
21800.0,-20000.0,TransactionId_2290,6,4,Accepted,3833.0,1,1,1,0
1500.0,-1500.0,TransactionId_1755,6,1,Accepted,2346.0,0,1,1,0
3500.0,-3500.0,TransactionId_473,6,3,Rejected,2.0,2,2,2,2
1000.0,-1000.0,TransactionId_238,6,1,Rejected,2.0,2,2,2,2
1000.0,-1000.0,TransactionId_2544,6,1,Rejected,2.0,2,2,2,2
